srouce,title,company,location,link,description,skills,details
LinkedIn,DATA ANALYST,Akademija Oxford,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917868480?position=2&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=2CwkzoUGCXsijBVJxieuIQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning…
Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France.
Bienvenue au cœur du big bang !
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Machine Learning'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's', '3', '3', '3']}"
LinkedIn,DATA ANALYST,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917868488?position=3&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=BNUusJQE4Ycib3V28fZ5xQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Diplômé(e) d’un bac+2 dans le secteur informatique et plus précisément dans le domaine du développement.
Dans le cadre d’un contrat d’apprentissage de 12 mois, nous recherchons pour l’un de nos partenaires, un Data Analyst qui souhaite apporter ses compétences techniques tout en faisant preuve d’un excellent savoir-être.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,DATA ANALYST,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/data-analyst-at-akademija-oxford-3917872056?position=4&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=4oROEO4bVfHAu%2BQ%2FoSkdhg%3D%3D&trk=public_jobs_jserp-result_search-card,"L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil Big Data en alternance pour la rentrée de Septembre 2021.
A noter : Sup de Vinci présentera à cette entreprise partenaire uniquement des candidats ayant passé les tests d’admission et qui seront admissibles dans son établissement.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Alternance - Data Analyst Junior Anti-Trafic (H/F) - Septembre 2024,CHANEL,"Neuilly-sur-Seine, Île-de-France, France",https://fr.linkedin.com/jobs/view/alternance-data-analyst-junior-anti-trafic-h-f-septembre-2024-at-chanel-3847615544?position=5&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=4b3gXai5MwL697fpwKUrog%3D%3D&trk=public_jobs_jserp-result_search-card,"Alternance Data Analyst Junior Anti-trafic (H/F) septembre 2024
L'activité Parfums Beauté affirme sa singularité à travers une promesse : celle de révéler la beauté de chaque femme dans ce qu'elle a de plus singulier à travers son parfum, son maquillage et ses produits de soin. Cette philosophie est largement héritée de Mademoiselle Chanel, qui a toujours œuvré pour affirmer sa propre indépendance et celle de toutes les femmes.
Description de l'emploi :
L’équipe Anti-trafic a pour mission de contribuer à protéger la marque CHANEL Parfums Beauté, ses consommateurs(rices) ainsi que ses distributeurs agréés en luttant au quotidien contre le marché gris.
Au sein de cette équipe dynamique à taille humaine et dotée d’un scope mondial, rattaché(e) à la Chef de projet Amélioration continue, vous contribuerez au travail d’investigation, de consolidation et de qualification des informations et données du marché parallèle. Plongé(e) dans l’envers du décor d’une Maison de luxe, vous serez amené(e) à travailler en autonomie et à être force de proposition sur vos futures missions.
À ce titre, vos missions sont les suivantes :
Gestion de la qualité des données de nos outils de pilotage et d’analyse :
Outils internes :
Contrôle des informations saisies sur nos différentes bases de données
Retraitement des données : garantir la fiabilité et la cohérence des données, réaliser les travaux de nettoyage correspondants avant transmission des rapports aux marchés
Accompagnement de l’analyste produit dans la recherche/complétion des informations manquantes
Outils externes :
Contrôle de l’intégrité et de la qualité des données fournies
Elaboration de propositions d'optimisation des jeux de données (format / structure des fichiers…)
Suivi et développements BI
:
Développement/Amélioration de rapports PBI en partenariat avec la chef de projet Data Junior
Appui à l’amélioration des data set et de la data visualisation
Création et rédaction de guides utilisateurs à destination de l’équipe et de nos marchés
Support de l’équipe anti-trafic :
Amélioration de la gestion documentaire en collaboration avec nos parties prenantes
Mission support auprès des chef de projet marchés pour l’aide au reporting
Participation à la vie de l’équipe
PROFIL
Vous êtes en master et possédez les atouts nécessaires pour intégrer un environnement rigoureux et en constante évolution. Très organisée, la personnalité que nous recherchons est également curieuse et pro-active. Vous possédez une réelle appétence pour l’opérationnel et le croisement des données qualitatives et quantitatives. Excel et Power BI n’ont plus de secret pour vous et vous êtes à l’aise avec les autres modules de la suite Microsoft. Enfin, vous êtes à l’aise en anglais.
La connaissance du domaine et des enjeux de l’anti-trafic n’est pas nécessaire, vous serez formé(e) en interne par l’équipe avant de débuter vos missions.
Vous pouvez postuler en ligne sur Chanel.com, rubriques Carrières
Alternance dès début septembre 2024 basée à Neuilly-sur-Seine.
De la singularité de chacun naît la richesse de nos équipes. CHANEL valorise la diversité sous toutes ses formes.
Show more
Show less","{'ProgLanguage': ['R', 'Go'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': ['Power BI'], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': ['Chef'], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Collaboration'], 'EnSoftSkils': ['Collaboration']}","{'JobDetail': ['Junior'], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Data Analyst F/H,Allianz France,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-f-h-at-allianz-france-3909179361?position=6&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=yrNle9v7%2FDyEOFZZYImtFg%3D%3D&trk=public_jobs_jserp-result_search-card,"AIM Paris (Allianz Investment Management Paris), l’unité Investissement d’Allianz France, a la charge de la gestion des investissements des différentes entités d’Allianz France tant sur les portefeuilles d’actifs généraux qu’en unités de compte (UC), sur toute la chaîne de valeur des investissements, qui couvre la gestion actif-passif, la stratégie d'investissement, ainsi que la planification des revenus des investissements, le suivi des risques, le reporting et les opérations.
Le rôle de l’équipe :
Pour soutenir ces activités, l’équipe AIM Finance & Opérations, en charge des données d’investissements, des reportings et du suivi des risques des investissements, est à la recherche d’un
Data Analyst
. Ce dernier, rattaché hiérarchiquement à AIM Finance & Opérations, couvrira l’ensemble des besoins des différentes équipes d’AIM (AIM Investment Strategy, AIM Asset-Liability Management, AIM Finance) et interviendra de façon opérationnelle sur des projets de transformation locaux et Groupe.
Voici vos principales missions :
·
L’automatisation
de sourcing des données, des contrôles et des réconciliations entre différents systèmes d’informations
·
Le développement
de macros/codes afin d’automatiser/optimiser les tâches
·
L’amélioration continue
des bases de données Investissements
·
La fiabilisation et l’amélioration
continue des bases de données
·
La mise en place
de nouveaux reportings (Power BI)
·
Le pilotage de projets
en lien avec les initiatives groupes et locales
Vous travaillerez en lien étroit avec les autres équipes d'AIM France ainsi que les équipes AIM centrales à Munich. La maitrise de
l’anglais
est alors indispensable.
Votre parcours :
Diplômé(e) en informatique/gestion des données ou d’une école d’ingénieur (
BAC +5),
vous disposez d’une expérience significative dans la manipulation de données
(5-10 ans).
Maîtrise de plusieurs langages de développement du type
Python, VBA, Access, SAS
Bonne maîtrise des outils bureautiques Powerpoint, Excel et VBA, et idéalement une première expérience significative dans l’utilisation d’outils de datavisualisation
(Power BI)
Capacité d’analyse et de synthèse, ouverture d’esprit, rigueur, organisation et autonomie,
Français et
anglais
professionnel courants indispensables, à l’écrit comme à l’oral.
Vous aimez travailler en équipe dans une entreprise qui met ses collaborateurs au cœur de sa stratégie de développement ! Alors rejoignez-nous chez Allianz ! Toute l’équipe de Marwen NAJAR vous y attend !
En tant qu’entreprise reconnue et internationale, nous vous offrons des avantages attractifs tels qu’une flexibilité du temps de travail, le télétravail (3 jours par semaine), 9 semaines de congés, une restauration sur site, des taux préférentiels collaborateurs, des congés maternité et paternité élargis, des places en crèche et bien plus encore.
En tant qu’employeur, nous mettons tout en œuvre pour vous assurer un bien être propice à votre épanouissement.
Allianz est la 1ère marque mondiale d'assurance présente dans 70 pays. Les #Allianzers, c'est 9.000 salariés en France qui accompagnent leurs clients tout au long de leur vie, des collaborateurs qui associent innovation, performance et agilité pour relever des défis permanents au quotidien. Parce qu'en nous préoccupant de l’avenir de nos collaborateurs, nous pouvons encore mieux nous préoccuper de l’avenir de tous nos clients. Pour cela, Allianz innove et met la technologie aux services des hommes pour préparer leur avenir, un avenir plus sûr.
En qualité d’employeur engagé, Allianz reconnaît que sa force se trouve dans la diversité de ses collaborateurs. Nous sommes fiers de promouvoir l’intégration et l’égalité des chances quel que soit le sexe, l’âge, l’origine, la nationalité, la religion, le handicap, ou l’orientation sexuelle de nos collaborateurs.
Allianz, We secure your future !
Informations complémentaires :
Poste base à PARIS, La Défense, Métro Esplanade
Show more
Show less","{'ProgLanguage': ['Python', 'R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': ['Power BI'], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': ['Organisation', 'Flexibilité'], 'EnSoftSkils': ['Initiative']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's', '10', '10', '10']}"
LinkedIn,APPRENTI.E DATA ANALYST,Akademija Oxford,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/apprenti-e-data-analyst-at-akademija-oxford-3917871082?position=7&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=wi9eB%2BVDDbZ4RDKHND%2BNug%3D%3D&trk=public_jobs_jserp-result_search-card,"Un acteur du secteur voyage et tourisme basé à Paris recrute un.e Apprenti.e Data Analyst pour renforcer son équipe Développement & Business Stratégique. L’alternant.e sera positionné.e sur le suivi et le contrôle de l’activité de la direction. Le contrat commence en octobre 2021 pour une durée de 12 mois.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': [], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,APPRENTI DATA ANALYST (H/F),Akademija Oxford,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/apprenti-data-analyst-h-f-at-akademija-oxford-3883289604?position=8&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=zGSBVf05Ek5Tzxjbr54Bug%3D%3D&trk=public_jobs_jserp-result_search-card,"Une de nos structures partenaires, acteur majeur du secteur des Télécommunications et situé dans les Hauts-De-Seine, recherche un Apprenti Data Analyst (H/F) préparant un bac +4/+5 spécialité Big Data à partir de Septembre 2021 et pour une durée d’un à deux ans.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Data Analyst Junior,Unlimitail,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-junior-at-unlimitail-3912999630?position=9&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=ZjOVmytedKcnsKSQ0pQ%2FUQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Unlimitail
is a joint venture between
Carrefour
Group and
Publicis
Group, intending to become the leader of the
retail media market in Europe and Latin America
. It combines the power of Carrefour Links' in-store and e-commerce assets and traffic with Publicis
Citrus Ad and Epsilon's
on-site and off-site retail media technologies. The goal of Unlimitail is to become the premier retail media player in Continental Europe and South America for both in-store and digital channels.
Missions
Within the Product team, your mission will be to participate in the development of Unlimitail’s analytics capabilities. Your environment will be millions of transactional data coming from major retailers on the market to analyze and improve the performance of online and offline marketing campaigns.
As we work with both retailers (providing media inventory) and brands (buying media inventory), you will have the opportunity to gain a deep understanding of the retail media ecosystem.
You will work with different teams (Ad Operations, Marketing, Sales) in different countries and on a wide variety of topics:
- Perform e-commerce campaigns analysis to provide detailed insights
- Conduct end-to-end ad hoc analysis to help retailers best monetize their inventory
- Participate in the design and maintenance of databases, using SQL to store and manage data efficiently
- Work on automating data analysis and data visualization capabilities
- Work on Unlimitail’s customer lifetime value calculation capability
- Participate in the development of new, cutting-edge abilities to create the best
Requirements
:
· Master's degree in Data Analysis, business analytics, Computer Science, Statistics, Mathematics, Engineering, or a related field.
· Data Analysis: Proven ability to analyze large datasets, identify trends, and extract actionable insights through using strong SQL skills for querying and data extraction.
· Programming Languages: Python and SQL are mandatory. Any other is a plus
· Data Visualization: previous experience in creating interactive and insightful visualizations, using tools like Power BI or Looker is a big plus
· Knowledge of GCP or Azure environment is a plus
· Problem-solving: Adept at approaching analytical problems and proposing effective solutions.
· Good communication skills in English. Another language (Spanish, Portuguese) is a plus.
· Strong team player with the ability to collaborate effectively
Benefits
:
· 2 days of WFH
· 90% reimbursement of public transportation fees
· Office located in central Paris (Chatelet)
· Swile card of 10€/working days
Show more
Show less","{'ProgLanguage': ['Python', 'R', 'Go'], 'DataBase': ['SQL'], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': ['Power BI'], 'Statistics': ['Statistics'], 'CloudComputing': ['Azure'], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': ['Teams'], 'Other': [], 'FrSoftSkills': ['Communication'], 'EnSoftSkils': ['Communication']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
LinkedIn,Data Analyst Power BI (F/H),Orange Business,Greater Lille Metropolitan Area,https://fr.linkedin.com/jobs/view/data-analyst-power-bi-f-h-at-orange-business-3916552634?position=10&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=U4KAg6WLRoRLqVSKwDxsYw%3D%3D&trk=public_jobs_jserp-result_search-card,"Missions
:
Orange Business, recherche pour son site de Lille, son futur Data Analyst Power BI pour rejoindre sa team Data.
Votre quotidien ?
En intégrant Orange Business, vous pouvez participer à une grande diversité d’activités dans la Data. En voici un aperçu :
Au démarrage du projet :
Recueillir et analyser les besoins du client
Rédiger les spécifications fonctionnelles et techniques
Estimer les charges
Pendant la phase de réalisation :
Concevoir et développer des
solutions frontend BI à des fins analytics & dashboarding
Accompagner les Métier dans la
compréhension des Analytics
et mise en oeuvre de solution ""data driven""
Mettre en œuvre des solutions industrielles exploitables, mesurables et opérables
Communiquer et traduire les résultats complexes et leurs implications aux parties prenantes de l'entreprise
Capitaliser sur les solutions pour créer de nouveaux produits, de nouveaux services et de nouvelles opportunités de digitalisation, de valorisation de la donnée
Collaborer avec les data scientists et data ops dans la construction d'une culture axée sur les données
En fonction de votre évolution et de nos enjeux, vous pouvez aussi évoluer sur des missions transverses (conseil, coaching, avant-vente, formation, audit, etc.). La prise d’initiative est toujours la bienvenue !
Profil
:
Vous possédez 3 ans d'expérience ou plus autour d’écosystèmes BI. Vous maitrisez la chaîne de valeur du traitement de la donnée, vous savez intégrer les enjeux de sécurité des données
Vous
maîtrisez Power BI
on Cloud.
Vous avez acquis de l’expérience dans les outils BI et
data visualisation
.
Au-delà des connaissances techniques, nous recherchons quelqu’un de :
Dynamique et positif ;
Ayant soif d'apprendre et d'évoluer ;
Aimant relever les défis et être challengé pour progresser ;
A l'écoute et aimant le travail collectif ;
Aimant partager avec l’équipe ses expertises et ses questions.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': ['Orange'], 'DataSerialization': [], 'DataVisualization': ['Power BI'], 'Statistics': [], 'CloudComputing': [], 'DevTools': ['Git'], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Cloud'], 'FrSoftSkills': [], 'EnSoftSkils': ['Initiative']}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's', '3', '3', '3']}"
LinkedIn,DATA ANALYST EN ALTERNANCE,Akademija Oxford,"Ille-et-Vilaine, Brittany, France",https://fr.linkedin.com/jobs/view/data-analyst-en-alternance-at-akademija-oxford-3917867571?position=11&pageNum=0&refId=jBvsgtdGm8ta0dsilpa8wg%3D%3D&trackingId=n4ufLwBz1rqVmlUhHuwGWQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Vous avez envie d’intégrer une école à taille humaine ? Vous êtes intéressé.es par l’analyse et le traitement des données ? Sup de Vinci propose une formation complète, en bachelor Big Data.
L’école Sup de Vinci, Rennes, accompagne l’une de ses entreprises partenaires dans son projet de recrutement d’un profil Big Data en alternance pour la rentrée de Septembre 2021.
Show more
Show less","{'ProgLanguage': ['R'], 'DataBase': [], 'DataAnalytics': ['R'], 'BigData': [], 'MachingLearning': [], 'DataSerialization': [], 'DataVisualization': [], 'Statistics': [], 'CloudComputing': [], 'DevTools': [], 'Os': [], 'DBMS': [], 'SoftBigDataProcessing': [], 'Automation': [], 'InfrastructureAsCode': [], 'NetworkSecurty': [], 'Virtualisation': [], 'Containers': [], 'Collaboration': [], 'Other': ['Big Data'], 'FrSoftSkills': [], 'EnSoftSkils': []}","{'JobDetail': [], 'TypeContract': [], 'Salary': [], 'Level': [], 'Experience': ['a', 'n', 's']}"
